id,barcode,name,brand,generic_name,quantity,category,macro_category,food_type,kcal,protein,carbs,fat,fiber_100g,sugars_100g,saturated_fat_100g,salt_100g,sodium_100g,cholesterol_mg_100g,serving_size,serving_quantity,ingredients,allergens,labels,source,source_url,countries_tags,image_url,verified,usable_for_meal_generator,data_quality_score,nutrients,created_at,updated_at
crea_000020,,"Farro perlato, crudo",,,,cereali,carb_source,generic_food,353,14.6,69.3,2.4,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000025,,"Farro perlato, cotto, bollito",,,,cereali,carb_source,generic_food,178,6.2,37.3,1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000030,,Frumento duro,,,,cereali,carb_source,generic_food,332,13,62.5,2.9,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000040,,Frumento tenero,,,,cereali,carb_source,generic_food,336,12.3,65.2,2.6,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000045,,"Couscous, crudo",,,,cereali,carb_source,generic_food,361,13.7,76.5,1.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000046,,"Couscous, cotto",,,,cereali,carb_source,generic_food,179,3.6,39.7,1.1,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000050,,Grano saraceno,,,,cereali,carb_source,generic_food,329,12.4,61.2,3.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000060,,Mais,,,,cereali,carb_source,generic_food,357,9.2,75.1,3.8,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000070,,"Mais, dolce, in scatola, sgocciolato",,,,cereali,carb_source,generic_food,105,3.4,20.5,1.3,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
crea_000075,,"Polenta, cruda",,,,cereali,carb_source,generic_food,323,8,72.7,0.7,,,,,,,,,,,,crea,,,,true,true,100,{},2026-06-04T21:17:12.079487+00:00,2026-06-04T21:17:12.079487+00:00
